[1, "No, never that  https://t.co/BI4QXAUYio"]
[2, "RT @Day5Girl: I've listened to nothing but #prince the past few days and now when I turn on music from today it makes me want to vomit #SNL"]
[3, "RT @HarvSaidFuckIt: Baby Fever is real."]
[4, "I need to vomit..."]
[5, "Depressed people get colds more frequently -- Energetic, happy and relaxed individuals are immune to cold and flu."]
[6, "@ValeriaMooon he really is tho I wanted to vomit but I love him. But was the concert lit?"]
[7, "Abominables \"Fever\" Vive latino 2016 https://t.co/ZM4N3OYVI8 v\u00eda @YouTube"]
[8, "Yes https://t.co/730bbA4TuA"]
[9, "I hate vomit"]
[10, "Fml i die till vomit all over my rm yst...."]
[11, "@britney_bick YOU HAVE A FEVER"]
[12, "@ilarissafarias \u00fanica vez que te vi no maraca voc\u00ea estava com seu namorado no jogo do Flu"]
[13, "There are some days where I really hate the taste of water?? Today is the day haha I'm so dehydrated now"]
[14, "I wonder if my FAT BALDING PIZZA DELIVER neighbor died from drugs in his car (doesn't have elevator); would I BLAME it on FLU? #SNL #Prince"]
[15, "RT @passport_cutty: He prolly had another disease. I'm not buying flu. No."]
[16, "Caught a wild cadet dabbin Fever @cramdamn https://t.co/EF2UeysGDj"]
[17, "@tommy_marlow14 Paul Blart blasted diarrhea"]
[18, "I keep almost sneezing and it's killing me"]
[19, "Will kicked me out his house for sneezing"]
[20, "@mattcornell These would totes fit in at that new shop for \"gentlemen of sport &amp; leisure\" &lt;insert vomit emoji&gt; on Virgil..."]
[21, "yes i love that but pretty. odd. man https://t.co/ACCUjiYfnA"]
[22, "RT @awaandy41: My Messages dehydrated\nMy Twitter dry\nAnd my Instagram more than dead"]
[23, "McCain responsible for all of the Fever's 3 scores so far. TD to A WIDE open @D_Miller24. Fever down 33-23 with 2:57 left in the 3rd."]
[24, "RT @emily_the_gray: #RxAMovie Diarrhea Hard"]
[25, "Bieber fever, still got the heater"]
[26, "RT @aIbumaesthetics: a fever you can't sweat out // panic at the disco https://t.co/pWV4zCDSbc"]
[27, "Someone threw up on me. I smell like vomit. 0/10 do NOT hang out with drunk people."]
[28, "Some people kill me, saying they have \"lupus,\" like it's the flu. I've seen 2 people now claim they have Lupus,... https://t.co/YcjV4t7SHv"]
[29, "To me it looks like vomit central https://t.co/HtcDEyvaly"]
[30, "g1 is like an enormous fever dream because most of the time you're in a haze of mediocre toy commercial but there's these little parts."]
[31, "First a cold. Then the flu. Then I thought I was recovering fine. And now I got laryngitis. Oh, happy days... https://t.co/FIdfMFM0lw"]
[32, "i cant meet justin i would literally vomit on him and go to jail"]
[33, "Swifts are undefeated! Ha cop it fever. Excellent game played, on fire this season!"]
[34, "I must be really fucking gay because this baby fever that y'all speak of. can't relate."]
[35, "Haha vomit boy https://t.co/i3UhLW7Z79"]
[36, "Introverts are word economists in a society suffering from verbal diarrhea. ~ Michaela Chung #quote"]
[37, "I be having baby fever like a mf lol"]
[38, "https://t.co/HmVTxVtxW6 https://t.co/WBtzsvcEHp https://t.co/E59wKAeE7E...."]
[39, "fever can you please go away i hate you"]
[40, "12 Tips Alami Atasi Flu dan Pilek | Arlina Sehat https://t.co/8xdkGNg2vq"]
[41, "STREET FEVER SLAY https://t.co/6HjtascFFl"]
[42, "They'll be cleaning up the vomit there for at least 6 months after that! Oh to be a fly on the Palace wall. https://t.co/y76EI4gboo"]
[43, "RT @nakedmagic: KING OF SNEEZING\nhttps://t.co/DkeFU7UpMT"]
[44, "@piih_fg girl I've watched it like 5 times already lol no I watch all my dramas either on drama fever or on Hulu"]
[45, "@ComicConFred @jdfffn I need more homies like that.... Less vomit in my yard would be BA"]
[46, "@ivymd1377 @krizzy_kalerqui kasi lilipas din election fever. Kung dahil lang sa eleksyon nagkasira frenz &amp; relatives, tau may problema."]
[47, "RT @TheMazeRunnerBR: Revelado pr\u00f3logo de \"The Fever Code\", contando hist\u00f3ria de Newt! https://t.co/QiXW0Ua9Nz https://t.co/5TT5NLZwff"]
[48, "RT @ThymeAnnie: @arminavdic well better than vids titled  diarrhea  pt1,2,3,4.... posted every 2-5 minutes"]
[49, "RT @paleblueeyes24: The more that comes out about this the more I wanna vomit.   https://t.co/y0rzZ2XHL3"]
[50, "RT @ethxg: major apology to the young girl at Pollo Rey who has to clean up my vomit. \n\n#prom2016"]
[51, "his sneezing Physically hurts me smh #AssClassSpoilers"]
[52, "Would you rather pee yourself a little bit throughout every day or diarrhea shit yourself once a week???"]
[53, "@Wozzletof Zika Fever Spikes Cause Strange Bloodthirst https://t.co/2ZOQm2RlXH"]
[54, "obozo gets more ludicrous every day.  https://t.co/UuRU9W2qTO"]
[55, "Frozen Fever https://t.co/pUkd6cGI11 #fullmovie"]
[56, "RT @RebeccaFaussett: INDIANA FOR TRUMP! Connersville here we have TRUMP fever https://t.co/PQiLFQ5geg"]
[57, "@bribritheg Zika Fever Spikes Cause Strange Bloodthirst https://t.co/2ZOQm2RlXH"]
[58, "@Josh_calbert you got reverse jungle fever!"]
[59, "@akant77 Zika Fever Spikes Cause Strange Bloodthirst https://t.co/2ZOQm2RlXH"]
[60, "JUST IN: Second medical doctor dies from swine flu-related... #TheDoctor https://t.co/KKzU6y9Vn4"]
[61, "I had baby fever for like 3 hours , I'm over it now though"]
[62, "@CoolDubband Zika Fever Spikes Cause Strange Bloodthirst https://t.co/2ZOQm2RlXH"]
[63, "@moviesonlinema3 Zika Fever Spikes Cause Strange Bloodthirst https://t.co/2ZOQm2RlXH"]
[64, "in 50 years no one will know who ariana grande is honey but stay pressed! https://t.co/oScZulJiLX"]
[65, "@seokyungri jk can't wait to see u at the flu shot line bitch get ready to catch these hands"]
[66, "@HoltonHenshaw @Collin_Barnes @Boltonmasher this is a thing already. Diarrhea fries from Weinerschnitzle."]
[67, "@turdley_2000 @FLORIDABEER Zika Fever Spikes Cause Strange Bloodthirst https://t.co/2ZOQm2RlXH"]
[68, "TOUCHDOWN #EMPIRE! QB Dowdell takes it in from 4-yds out. PAT is blocked and returned by the #Fever for 2-pts.\n\nSPO 39 TRI 25 | 14:40 Q4"]
[69, "@The_Shadow_Hog Don't push yourself. That's why I still have a tight muscle in my throat from being dehydrated nearly two months later."]
[70, "All I wanna do is experience Bey but here I am cleaning up cat vomit. Like I'm about to throw Leo into the goddamn street."]
[71, "Dai The Flu"]
[72, "High fever and i'm dyinggg"]
[73, "@titsvonglitz or get vomit in your hair"]
[74, "RT @Funny_Truth: If you are drunk and have the urge to vomit, taking short rapid breaths can help it go away."]
[75, "RT RonMFlores: Josh_calbert you got reverse jungle fever!"]
[76, "Greyhound Fever! Everything You Need to Know About Greyhounds https://t.co/OkY824ZCuV"]
[77, "@brianteohongwei yup drink green bean for my fever ~"]
[78, "Go camping, freeze all night, come home... only to get a fever in the evening... awwyee..."]
[79, "I really got the Corey Fogelmanis fever rn y'all #farkleminkus"]
[80, "RT @lea00star: JUST IN: Second medical doctor dies from swine flu-related... #TheDoctor https://t.co/KKzU6y9Vn4"]
[81, "Flu vax survey: \"Any suggestions for post vaccination treat?\". Answer: \"None that would be appropriate to list here\"."]
[82, "RT @autumnrainwish: VOMIT.\nsubah subah. chee. https://t.co/1tT8qO2Fok"]
[83, "Hay Fever aka I look and feel like the child from the Puffs commercials. All I can do is laugh at myself. And sneeze. A lot"]
[84, "death  https://t.co/Jj4IY3tFyY"]
[85, "Stomach flu sucks."]
[86, "good god i am rly dehydrated"]
[87, "RT @Zelda_Game: A chicken sneezing, that is all.. https://t.co/9Rl3kvX1ZD"]
[88, "Dunno if because of the flu or because of hormones but im craving dohtonbori"]
[89, "RT @maaryolaa: @MH_Waavy word bro i been dehydrated all day no matter how much i drink"]
[90, "2012 the natural growth as for rescue fever ward moncler quincy jackets: yiN https://t.co/rxIGQuQvbW"]
[91, "Vomit free since 2015"]
[92, "I'll love you forever i cleaned up your vomit."]
[93, "I have to keep an eye on Soph bc she's having major baby fever but she needs to cool her ass down smh"]
[94, "it's hard to be intimidated by people when you realize that at one time or another, everyone has had really bad watery diarrhea"]
[95, "Wait, is that Bill Murray playing rhythm guitar for Prince? Is that Heaven or the best fever dream? #SNL"]
[96, "Huvt. batuk mendingan keluar penyakit baru,flu paraaah,batuknya nongol lagi -___-"]
[97, "@deddpool pede pro seu amigo l\u00e1 do flu me dar uma passagem de presente"]
[98, "Peeps suffering from chest lung problems like flu etc its your jewelry.  Especially necklaces and pendants"]
[99, "i'm going to vomit"]
[100, "RT @itsKFohshox: Jadine fever is like kpop fever.. intense!! I swear!!! #JaDinePreciousLoveSpecial"]
[101, "it's hard to be intimidated by people once you realize that at one time or another, everyone has had really painful watery diarrhea"]
[102, "Everyone is getting engaged. Excuse me while I vomit."]
[103, "&lt; some kind of tummy flu kind of the thing, I had a strong craving for apple pie and decided I'd make some of my own or pick up a whole pie&gt;"]
[104, "@freddoso This isn't Saturday Night Fever-Swamp, but it's kinda depressing on Saturday night."]
[105, "RT @_monstruosidad: Ever napped so intensely you wake up dehydrated?"]
[106, "@darienlavino dude I love sneezing"]
[107, "this 101 fever ruined my weekend"]
[108, "RT @iKaarli: @darienlavino dude I love sneezing"]
[109, "decided to learn how to play fever on the guitar"]
[110, "@rphportella Flu, Barcelona, Juve, Modric, Aguero"]
