[99, "dude I love sneezing"]
[105, "Babe my abs are from sneezing 100 times a day look"]
[113, "I love sleeping with my pup Theres nothing like waking up to a bunch of hair in your face and sneezing uncontrollably"]
[139, "pet  cuddle the crap out of loki now sneezing up a storm the things I do for cat love aka true love"]
[161, "I love sneezing Just love it"]
[217, "WHISKEY The night time sniffling sneezing how the hell did I end up on the bathroom floor medicine"]
[289, "This is why I hate cleaning Now Im gonna be sneezing around all day long"]
[446, "I worked 3 days only cause my poor baby got a cold and a fever which she still slightly has minus the fever thank god"]
[461, "Now im sneezing like crazy Thanks alot for ruining my day boi"]
[483, "Been fucking sneezing all day thanks"]
[534, "Incase you are having a bad day heres a dog sneezing"]
[545, "its late and I just want to sleep but Ive been sneezing all night and I have a fever and I feel like crap"]
[603, "Coughing sneezing Coughing sneezing Im dying"]
[655, "Whole day sneezing zzz"]
[665, "Its either a cold or early signs of hayfever Great sneezing"]
[1011, "Sadly nothing so interesting Been sneezing during the night so probably first sign of a cold"]
[1058, "As if I didnt need anything else to add to the shit storm that is my life right now I wake up exhausted a cold  uncontrollable sneezing"]
[1061, "Lol been sneezing all night fml"]
[1073, "Ma your MCM just bought some claratin d pills he got a fake cold sneezing with no job Lol"]
[1093, "Agree with Dr Scholands answer to Stiff tight soar throat no tonsils no fever no cold or cough symptoms day 4   httphtapu"]
[1197, "Look I love staying in bed and being lazy but when youre sneezing headachey and unable to do anything other than binge TV it wears thin"]
[1210, "nightmare waking up sneezing like fuk lol if its really bad tho and effecting ur day a spray from ur gp will make a difference"]
[1344, "Dysme strikes Ugh Then I have colds pa and its my first day and ive been sneezing all the time wth this could be the death of me lol smh"]
[1351, "Dysme strikes Ugh Then I have colds pa and its my first day and ive been sneezing"]
[1577, "woke myself up by sneezing hello cold"]
[1626, "Good start to my day taking my phone case off and sneezing all over my phone in the first five minutes"]
[1649, "If ever youre having a bad day just have a look at this adorable sneezing Bishamon"]
[1763, "I feel like my whole life is just getting the cold When my life flashes before my eyes Im pretty sure 84 of it will be me sneezing"]
[1922, "i spend most of my day today studying sneezing blowig my nose oh and everything abt flu yay"]
[2100, "Teahers I know yall are just getting spring fever but Me eh Ive had spring fever since the day I walked in here"]
[2163, "Im glad nearly everybody I know just laughs when I tell them I have baby fever cause truly I only have mini me fever and husband fever"]
[2201, "Jungle fever Yellow fever Baby I got scarlet fever So stay back seriously"]
[2308, "My allergies LOL at my ambitions of enjoying a beautiful spring day in the form of doubledigit count sneezing"]
[2389, "am actual in rosss bed so sniffly and sneezing every ten seconds its april why am i still dying to the cold"]
[2434, "incase you are having a bad day heres a dog sneezing"]
[2544, "This flu got me hitting the craziest Dabs ever when sneezing and coughing lol Gone"]
[2613, "Ahh I have a fever and cant stop sneezing every 5 seconds This is bad"]
[2693, "If I could stop sneezing any day now that would be great"]
[2715, "I love spring but I do NOT love sneezing"]
[3050, "Imagine going an entire day without sneezing"]
[3086, "i love it lol I only like cold cold water when im dehydrated af"]
[3142, "I hate nonstop sneezing sneezing your brains out sort of speak"]
[3515, "yeah i love sneezing a bunch of times after getting slapped in the face too"]
[3840, "Nope I keep sneezing I think I just have a cold"]
[3862, "If youre having a bad day heres a video of my dog sneezing to cheer you up"]
[3894, "idk if i have a cold or if im suddenly allergic to things bc my nose is blocked and my eyes are streaming and i cant stop sneezing"]
[4068, "Its funny how parenting is the best yet most infuriating thing ever I love you mom while sneezing food on my face grosslove parenting"]
[4411, "This cold g2g Im ugly sneezing every 4 minutes"]
[4433, "Awful back pain with a cough and constant sneezing due to a cold is far from a good combination backpain paininthearse"]
[4993, "Like if it were Joanne from Accounting sneezing thenwow But its YOU sneezing"]
[5112, "high fever this fever wont cool and im overthinking my life chopstick Let Me Help high fever LEAVE CELERY DEMON"]
[5599, "i love sneezing so much"]
[5697, "Ive been sneezing all day today dude"]
[5722, "I love sneezing"]
[5806, "I know this weird but I love sneezing"]
[5866, "I keep getting alerts from the Weather Ch on my phone that say pollen count is high Been sneezing all day"]
[5917, "Well fever is a huge thing You never know if it just a common cold dengue or anything else in the world that can be presented as fever"]
[6035, "can my dog catch a cold from me Im 4 days into a common cold and hes been sneezing for the last couple of nights"]
[6337, "Im kidding I really love my Taylor but stop sending me videos of you sneezing its gross"]
[6433, "I keep sneezing And sneezing And sneezing And sneezing some more"]
